Entities,neg,pos,neu,Count
Donald Trump,147,164,165,2534
United States,162,115,117,1329
Twitter,43,101,146,436
President Obama,13,11,19,425
American,71,58,60,387
White House,55,54,35,372
China,32,20,32,342
Facebook,18,76,62,336
Barack Obama,22,34,24,322
Iran,32,4,16,275
Republicans,29,25,13,249
Kim Jong Un,5,16,7,227
Democrats,31,28,22,219
Russia,26,27,27,216
EU,22,13,15,175
Chinese,19,25,15,167
Vladimir Putin,6,14,10,167
Steven Mnuchin,3,4,8,165
Congress,35,32,27,161
Texas,10,5,16,158
Senate,20,22,26,156
Breitbart News,14,22,42,153
Syria,28,3,23,150
FBI,24,15,8,146
Chelsea Manning,5,2,9,146
Russian,23,17,19,142
Wilbur Ross,8,5,5,142
Justin Trudeau,8,4,3,140
Reuters,22,21,38,131
Sen.,33,44,54,131
House,26,21,11,128
London,17,18,26,127
Mike Pence,6,18,2,127
Hillary Clinton,20,24,11,127
Betsy DeVos,0,3,9,126
Iranian,22,5,9,125
California,14,15,23,123
Europe,24,21,22,122
Kim Jong-un,7,10,3,122
Germany,15,10,22,121
Singapore,4,22,13,121
New York,19,29,47,120
Islamic State,11,2,11,118
Hillary Rodham Clinton,0,0,1,117
presidente,15,21,76,112
English,6,22,45,111
NASA,4,5,5,111
North Korean,10,30,5,110
United Nations,15,8,13,110
Saudi Arabia,10,13,16,109
Harvey,1,0,0,108
AP,17,28,42,107
Sasha Obama,1,2,0,103
Prime Minister,23,37,41,101
Iraq,28,9,16,99
Breitbart,10,7,29,99
Mr,40,29,29,98
British,18,12,24,96
Chuck Schumer,8,8,4,96
08-Jun-18,27,39,30,96
Estados Unidos,5,9,17,95
Democratic,17,19,12,95
Britain,12,8,11,94
Google,10,7,11,94
Associated Press,16,16,29,94
Stormy Daniels,5,0,3,93
United Kingdom,7,6,8,92
Sarah Sanders,0,2,4,92
Donald Trump Inauguration,0,1,1,92
Matthew Dowd,1,0,2,92
Canada,17,15,9,91
German,11,13,23,91
Kate Spade,8,0,2,91
Muslim,10,13,20,91
Republican,16,26,17,90
07-Jun-18,30,28,32,90
Israel,19,10,15,90
European,17,13,16,86
Guatemala,11,3,6,86
UK,15,3,11,86
Venezuela,3,1,5,86
Rep.,17,23,46,86
Saudi,6,6,18,85
Syrian,17,8,14,83
Melania Trump,0,8,3,82
Sunday,25,11,20,79
Bill Clinton,7,8,8,79
Mexico,18,11,12,78
18-Jan-17,17,25,36,78
Windell Boutte,1,0,0,78
Theresa May,8,6,6,77
Jordan,1,1,10,77
Pyongyang,5,8,14,76
James Wolfe,2,0,3,76
Taliban,7,0,7,75
Turkey,8,3,14,75
Charles Rennie Mackintosh,0,1,0,74
November,20,14,15,73
CEO,16,28,29,73
Al Arabiya,8,14,31,73
Israeli,11,7,9,72
ZTE,5,4,1,72
Turkish,2,6,11,71
Dr.,24,15,31,70
Obama,5,14,10,70
Afghanistan,10,3,12,69
Japan,7,8,11,69
Afghan,9,3,7,68
April,21,13,21,67
MSM,0,0,4,67
19-Jan-17,23,18,25,67
director,9,27,30,66
France,10,10,20,65
Islamic,14,7,12,65
Markeith Loyd,1,0,1,64
South Korea,10,11,9,63
Arab,7,5,9,62
Republican Party,2,3,5,62
ISIS,15,4,14,62
Monday,21,8,23,61
MILO,4,4,1,61
Tom Price,3,9,4,61
United States of America,0,3,2,60
Dow Jones Trademark Holdings LLC,12,0,0,60
Bashar al-Assad,5,2,5,59
BBC,12,6,14,59
Saturday,8,24,14,59
Getty,18,19,21,59
Jeff Flake,2,1,3,59
