Entities,neg,pos,neu,Count
United States,15,6,6,138
Donald Trump,16,10,9,133
US,12,14,8,130
President,33,47,24,104
Al Jazeera,20,9,32,101
North Korea,5,7,4,82
Turkey,6,3,5,79
Iran,8,3,7,75
Vladimir Putin,5,3,2,73
Singapore,4,11,6,70
Taliban,5,2,1,69
China,4,4,6,67
Kim Jong-un,6,11,2,66
Al Jazeera News,7,8,5,66
Russia,12,4,4,64
G7,6,3,4,61
Reuters,14,6,22,56
Canada,10,3,3,56
Jordan,2,3,3,55
Mohamed Ould Atigh,0,1,0,47
Yemen,4,0,2,45
Iraq,4,0,5,44
president,9,9,22,40
North Korean,5,11,1,39
Afghanistan,4,2,5,39
Omar al-Razzaz,1,0,2,37
Syria,4,0,4,35
Saudi,6,1,4,34
Turkish,5,1,3,34
Prime Minister,9,10,12,31
Pyongyang,5,3,3,30
Saudi Arabia,4,3,3,30
Israel,2,1,1,30
African Union,1,0,1,30
Saturday,6,8,7,29
Guatemala,4,2,1,29
Justin Trudeau,5,2,1,29
Thursday,13,2,8,29
International Criminal Court,2,1,2,29
Ashraf Ghani,2,0,2,29
Jacob Zuma,0,0,1,29
Palestinian,2,0,4,29
Harvey Weinstein,0,0,1,28
Houthis,2,0,3,28
Sunday,8,2,4,27
Shanghai Cooperation Organisation,2,1,2,25
Pakistan,3,0,5,25
Ethiopia,0,1,1,24
AP,5,2,3,23
Syrian,4,1,3,23
Shafiq,1,0,0,23
Afghan,6,0,0,22
prime minister,8,6,7,21
Friday,7,3,5,21
Russian,4,2,3,21
Eritrea,1,0,0,21
Gaza,4,0,0,21
Middle East,3,7,1,19
Chinese,4,4,2,19
Washington,10,4,2,19
Egypt,2,3,4,19
France,4,3,6,19
United Nations,4,2,4,19
Palestinians,1,1,6,19
Caty,1,0,0,19
Farouk Baakar,1,0,0,19
Palestine,1,0,4,19
White House,2,5,4,18
American,6,3,4,18
Frances Sistook Ozenna,0,1,0,18
Iranian,4,1,2,18
Xi Jinping,1,1,3,18
Berlin Werbefrei,1,0,0,18
Khadija Siddiqi,1,0,0,18
South Korea,0,1,3,17
Baghdad,4,0,0,17
Myanmar,2,0,1,17
Canadian,5,4,1,16
April,9,1,2,16
British,1,1,2,16
Abiy Ahmed,0,0,1,16
Idlib province,2,0,1,16
Islam,3,0,2,16
Israeli,2,0,3,16
Kainat Soomro,1,0,0,16
U.S.,2,0,0,16
Europe,4,4,4,15
Jerusalem,1,3,1,15
Trump,0,3,0,15
Zionist,0,1,1,15
African,1,0,1,15
Australia,2,0,1,15
EU,5,0,3,15
India,3,5,1,14
Twitter,2,4,7,14
Germany,3,2,5,14
Muslims,1,2,4,14
Muharrem Ince,0,1,0,14
Abu Nihad,0,0,1,14
Islamic State,2,0,2,14
Jared Kushner,1,0,0,14
Sanaa,3,0,1,14
Sara Raza,0,0,1,14
European,2,4,5,13
Beijing,1,3,3,13
Nicaragua,3,1,0,13
USA,0,1,0,13
Daniel Ortega,2,0,0,13
International Committee of the Red Cross,2,0,0,13
International Monetary Fund,2,0,2,13
Kurdistan Workers' Party,2,0,1,13
Kuwait,1,0,2,13
Manus Island,1,0,0,13
UN,2,0,3,13
king,3,6,3,12
Tuesday,3,4,3,12
America,6,1,0,12
Jordanian,1,1,3,12
Tehran,2,1,2,12
Gulf,3,0,3,12
Jordan Land Forces Retired,0,0,1,12
Marah Natshe,0,0,1,12
Muhammed Ghurab,1,0,0,12
North,1,0,1,12
Pierre Nkurunziza,1,0,0,12
West,4,0,4,12
Moscow,2,4,1,11
Korean,0,3,0,11
UK,0,2,5,11
Arab,3,1,3,11
Japan,3,1,4,11
Kabul,4,1,1,11
Yousif Ajlan,0,1,0,11
Ankara,4,0,0,11
Assad government,0,0,1,11
Austria,1,0,3,11
Bemba,2,0,0,11
Burundi,3,0,0,11
"Flint, Michigan",1,0,0,11
Hudaida,2,0,1,11
Kim Jong Il,1,0,0,11
Kurdish People's Protection Units,1,0,2,11
Little Diomede,1,0,0,11
"Palang Khali, Bangladesh",1,0,0,11
Rafael Nadal,1,0,0,11
Russian nation,1,0,0,11
While Africa,0,0,1,11
European Union,2,3,4,10
Korean Peninsula,1,3,1,10
prosecutor,5,3,2,10
Wednesday,3,2,5,10
Abdel Fattah el-Sisi,0,1,0,10
Angela Merkel,3,1,1,10
Group of Seven,1,1,0,10
Iran nuclear deal,4,1,2,10
Mauritania,0,1,0,10
Mauritanian,0,1,0,10
Binali Yildirim,1,0,0,10
David Melgar,1,0,0,10
Donald J. Trump,1,0,0,10
Joseline Xeron,1,0,0,10
Mexico,3,0,5,10
"Montreal, Canada",1,0,1,10
Sebastian Kurz,0,0,2,10
Tigris River,2,0,0,10
Muslim,3,2,0,9
Russian President,0,2,5,9
Calvin Chua,0,1,0,9
Hassan Rouhani,2,1,0,9
Latin America,1,1,2,9
professor,2,1,6,9
United Arab Emirates,2,1,2,9
Associated Press,1,0,5,9
David Goldblatt,0,0,1,9
Flint,1,0,0,9
Human Rights Watch,3,0,1,9
Iraqi,3,0,2,9
ISIL,1,0,0,9
Kim Yong-chol,1,0,0,9
PCS,0,0,1,9
Pope Francis,1,0,0,9
Rakhmat Akilov,1,0,0,9
Rohingya,1,0,1,9
Sudan,1,0,0,9
Suzanne Goldberg,0,0,1,9
Syrian government,2,0,0,9
February,1,3,4,8
German,2,3,2,8
Foreign Minister,0,2,6,8
French,2,2,3,8
Americans,3,1,2,8
Britain,2,1,4,8
Charles Hankla,0,1,0,8
Jean-Pierre Bemba,2,1,0,8
Kakuma camp,0,1,0,8
Karla Altmayer,0,1,0,8
Mahnoz Aliyar,1,1,0,8
Nouf Abdulaziz al-Jerawi,1,1,0,8
parliament,2,1,2,8
South Africa,2,1,1,8
Trump Kim-Chi,0,1,0,8
Amman,3,0,1,8
Badme,1,0,0,8
Christine Van den Wijngaert,1,0,0,8
Kurdish,3,0,1,8
Lebanese,3,0,1,8
LeeAnne Walters,1,0,0,8
London,1,0,3,8
Mediterranean,1,0,0,8
Michigan,1,0,1,8
Moise Katumbi,0,0,1,8
Qingdao,0,0,3,8
Sumitha Narayanan Kutty,1,0,0,8
UNHCR,0,0,1,8
Zardana,2,0,0,8
East,1,5,1,7
Chancellor,2,2,3,7
John Hendren,0,2,1,7
Monday,2,2,3,7
South Korean,2,2,0,7
Damascus,0,1,2,7
FIFA,0,1,0,7
Hamas,1,1,0,7
Islamic,3,1,2,7
Latin American,0,1,0,7
North Koreans,2,1,0,7
President Rouhani,0,1,0,7
Abd al-Qader al-Husseini,0,0,1,7
Abdel Hadi al-Shami,1,0,0,7
Assad regime,0,0,1,7
Ethiopian,0,0,1,7
GCC,0,0,2,7
Israelis,2,0,5,7
Jimmy Morales,1,0,0,7
two years,3,0,3,7
West Kabul,1,0,0,7
World Trade Organization,1,0,1,7
West Jerusalem,1,5,0,6
foreign ministry,0,3,3,6
Arab countries,1,2,1,6
commander,1,2,3,6
EPA,3,2,0,6
Lee Hsien Loong,0,2,1,6
Recep Tayyip Erdogan,0,2,0,6
three years,1,2,3,6
Austrian,2,1,0,6
Baakar,2,1,3,6
Guatemalan,1,1,0,6
Haider al-Abadi,0,1,1,6
Istanbul,2,1,2,6
Jawad Anani,0,1,0,6
Joint Comprehensive Plan of Action,0,1,0,6
Kim Chang Son,0,1,0,6
King,0,1,5,6
North Africa,1,1,1,6
Pakistani,3,1,0,6
Qatar,1,1,1,6
Quebec City,1,1,3,6
Ramadan Tent Project,0,1,0,6
Republican People's Party,0,1,0,6
UN Security Council,2,1,0,6
Afghan government,1,0,2,6
Africa,1,0,4,6
ambassador,2,0,4,6
Anthony Bourdain,0,0,1,6
director,4,0,2,6
Donald Abelson,1,0,0,6
Fuego,2,0,0,6
General,3,0,3,6
Greece,1,0,0,6
Iranian President,2,0,1,6
Italy,2,0,3,6
La Khaima,1,0,0,6
Lebanon,1,0,1,6
Madagascar,0,0,1,6
Managua,2,0,0,6
Mukhtar Mai,1,0,0,6
Nestle,1,0,0,6
President Nkurunziza,1,0,0,6
Rodrigo Abd,1,0,0,6
Solomon R Guggenheim Foundation,0,0,1,6
Stockholm,1,0,0,6
Thomas Wright,1,0,0,6
Koreas,0,3,0,5
Air Force One,1,2,2,5
Andrew Wilks,0,2,0,5
December,0,2,1,5
Florence Looi,0,2,1,5
Ukraine,2,2,0,5
Bashar al-Assad,1,1,2,5
Boddin,0,1,0,5
five-year,3,1,1,5
Hollywood,1,1,0,5
judge,3,1,1,5
Kazakhstan,1,1,2,5
Kenya,0,1,0,5
Mayaa al-Zahrani,0,1,1,5
Omar Salha,0,1,0,5
Paul Kagame,1,1,0,5
Phillip Alston,0,1,0,5
Riyadh,1,1,2,5
Ronald Reagan,0,1,0,5
Russians,2,1,0,5
Syrians,3,1,0,5
three months,1,1,1,5
Trump-Kim,0,1,1,5
two-day,0,1,4,5
vice president,1,1,3,5
Abdullah II,1,0,3,5
Arab Spring,1,0,1,5
Democratic Republic of the Congo,1,0,0,5
DRC,1,0,1,5
Dutch,0,0,5,5
Emmanuel Macron,3,0,1,5
Eritrean,1,0,0,5
Fatih Yildiz,1,0,0,5
Hani al-Mulki,1,0,2,5
Ilisu Dam,1,0,0,5
Jewish,2,0,1,5
Jews,0,0,1,5
Kenyan,2,0,0,5
Levant,0,0,5,5
Mahmoud Hammad,0,0,1,5
Manbij,1,0,1,5
Max Walker,1,0,0,5
Mevlut Cavusoglu,0,0,1,5
Mohammed bin Salman,2,0,0,5
Muzaffar Shah,1,0,0,5
New York City - Shafiq,1,0,0,5
Rafiullah Yousafzai,1,0,0,5
S Rajaratnam School of International Studies,1,0,0,5
Salim al-Jabouri,1,0,0,5
Senate,1,0,0,5
Somali,0,0,2,5
United Nations Security Council,1,0,1,5
Volcan de Fuego,2,0,0,5
Macron,1,3,0,4
Shia,0,3,1,4
Congolese,1,2,0,4
Middle Eastern,0,2,0,4
Quebec,2,2,0,4
Shinzo Abe,1,2,0,4
Abu Dhabi,0,1,3,4
Ahmed Rashid,0,1,1,4
Air China 747,1,1,1,4
Aivin Hans,0,1,0,4
Asia,0,1,2,4
Australian,2,1,0,4
Barack Obama,1,1,0,4
Couscous,0,1,0,4
doctor,1,1,2,4
Dominic Thiem,0,1,0,4
El Porvenir,0,1,0,4
five years,0,1,3,4
Gouri Sharma,0,1,1,4
Greek,1,1,0,4
Honduras,0,1,0,4
Indian,1,1,2,4
Japanese,0,1,3,4
Kader Attia,0,1,0,4
Krzysztof Pelc,0,1,0,4
Mirza Toma,0,1,0,4
Muqtada al-Sadr,1,1,0,4
Nauru,0,1,0,4
San Miguel Los Lotes,0,1,1,4
Shanghai Cooperation Organisation (SCO,0,1,0,4
Sur Baher,0,1,0,4
Tel Aviv,1,1,0,4
