Entities,neg,pos,neu,Count
Charles Rennie Mackintosh,0,1,0,74
Peter Stringfellow,1,1,0,58
US,5,3,3,56
UK,7,1,5,53
Reuters,10,6,6,48
Getty Images,8,11,6,48
EU,6,2,2,45
BBC,8,5,7,44
Paul Dacre,0,1,1,36
Twitter,3,9,5,35
Denzel Darku,1,0,0,35
Northern Ireland,6,1,0,34
Kate Spade,1,0,0,34
Akilov Rakhmat Akilov,1,0,0,29
Britain,3,1,2,26
Taliban,2,0,0,26
London,7,6,1,25
Donald Trump,3,0,3,25
Venezuela,0,0,1,23
BBC News,5,9,3,20
Facebook,1,7,3,20
Abiy Ahmed,1,0,0,20
Labour,1,2,1,20
Thursday,7,2,5,19
Clive Churchhouse,1,0,0,19
MPs,5,9,5,19
David Davis,2,0,0,18
AFP,5,4,4,18
British,2,2,3,18
Afghanistan,2,0,0,18
Ethiopia,1,0,0,18
Beyonce,0,1,0,18
بي بي سي,4,7,0,17
English,0,2,1,17
Wednesday,8,1,5,17
Afghan,2,0,0,17
Europe,2,3,3,17
Stefani Germanotta,0,1,0,17
Theresa May,3,1,0,16
China,2,4,1,16
Tierra,0,0,1,16
الملك,1,8,6,15
Glasgow,1,0,0,15
Mackintosh's,0,1,0,15
North of England,0,0,1,15
Harold Mary Wilson,1,0,0,15
prime minister,6,5,3,14
7 ژوئن,0,0,14,14
2018 - 17 خرداد 1397,0,0,14,14
حزيران 2018,4,9,0,14
ژاپن,0,0,1,14
Parliament,0,2,1,14
James Howell,1,0,0,14
می,1,0,2,14
Harold Wilson,1,0,0,14
Steam,1,0,0,14
سنگاپور,0,0,1,13
دونالد ترامپ,0,0,3,13
English Parliament,0,0,2,13
President,4,5,4,13
Nathan Gault,1,0,0,13
Eritrea,0,0,1,13
PA,3,3,2,13
United States,1,0,1,13
Ireland,1,3,0,13
منبج,0,0,1,13
YouTube,0,1,1,13
Google,2,0,2,12
7 يونيو,4,8,0,12
چین,0,0,2,12
Westminster,3,2,2,12
Manodh Marks,1,0,0,12
Japan,1,1,2,12
Cardiff,0,2,0,12
خانم,0,0,12,12
Silicon Valley,1,0,0,12
Valve,1,0,0,12
Mrs,7,4,0,11
المصري,0,2,1,11
doctor,4,3,4,11
Premier League,1,0,0,11
Henri van Breda,1,0,0,11
Sweden,1,0,0,11
Carlos Moedas,0,0,1,11
United Kingdom,0,2,0,11
Supreme Court,1,1,0,11
Getty Images Image,2,1,1,10
Ghana,1,0,3,10
Mail,1,0,0,10
Irish,0,1,2,10
EPA,2,2,2,10
London Fire Brigade,0,1,1,10
OPEP,0,0,1,10
Estados Unidos,0,0,2,10
Canada,2,1,1,10
NAtional Trust for Scotland,0,0,1,10
Hill House,0,0,1,10
اسپانیا,0,1,1,10
Northern Ireland Water,0,0,1,10
Spencer Tunick,1,0,0,10
Shinzo Abe,0,1,0,10
افغانستان,0,0,1,9
نخست وزیر,0,0,9,9
سيدة,2,2,5,9
Veere Di Wedding,1,0,0,9
Tuesday,2,1,1,9
House of Fraser,1,2,0,9
PDVSA,0,1,0,9
Poundworld,3,0,0,9
الأمريكية,0,3,0,9
Labour Party,1,0,1,9
الیس جانسون,0,0,1,9
Kim Jong-un,0,1,0,9
Conservative,3,1,1,8
ministers,0,4,4,8
Washington,0,5,2,8
اليمن,1,0,0,8
England,2,0,2,8
Ashraf Ghani,2,0,0,8
Ms,6,0,2,8
المصرية,0,1,0,8
تاوسرت,0,1,0,8
Yvonne Seaman,1,0,0,8
European,1,1,0,8
Wharton Street,0,1,0,8
Instagram,1,4,1,8
Bradley Cooper,0,1,0,8
11 juin 2018,0,0,2,8
Moqtada Sadr,1,0,0,8
Catherine Cranston,1,0,0,8
Sarah Ewart,1,1,0,8
David Davis's,0,1,0,8
Julian Monaghan,0,1,0,7
BBC Mundo,1,4,0,7
آمریکایی,0,1,2,7
Afghan Air Force,1,0,0,7
حاتشبسوت جمال,0,1,0,7
الملكة,0,3,4,7
Alastair Bentley,1,0,0,7
Dr,3,1,3,7
Scotland,2,1,0,7
Savita Halappanavar,1,0,0,7
Republic of Ireland,1,1,1,7
Howells,0,1,0,7
Martin,1,0,0,7
Grenfell Tower,1,1,0,7
Nicolás Maduro,0,0,1,7
director,1,4,2,7
Queen,1,1,5,7
English votes for English laws,0,1,0,7
Jay-Z,0,0,1,7
Andy Spade,1,0,0,7
کیم کارداشیان وست,0,0,1,7
بی بی سی,0,0,4,7
Stephen Meyers,0,1,0,7
Anas Aremeyaw Anas Pour Brigth Kankam Boadu,0,0,1,7
مقتدى الصدر,1,0,0,7
North Korea,0,1,0,7
Redacción* BBC News Mundo,0,0,1,6
طالبان,0,0,1,6
الصين,3,0,0,6
وزیر خارجه,0,0,6,6
White House,3,0,0,6
Mike Kenny,0,0,2,6
Australia,1,1,1,6
an hour,3,0,1,6
Islamic State,2,0,2,6
Foreign and Commonwealth Office,0,1,0,6
Jennifer Sutcliffe,1,0,1,6
Africa,1,0,0,6
Friday,1,1,4,6
Siraj Desai,1,0,0,6
Swedish,2,0,0,6
Stockholm,0,0,1,6
Esther O'Hara,1,0,0,6
ERC,0,0,1,6
Warner Bros. Pictures,0,1,0,6
10 juin 2018,0,0,2,6
Guatemala,2,1,0,6
European Economic Area,0,1,0,6
مجلس منبج العسكري,0,0,1,6
سوريا,0,0,1,6
الولايات المتحدة,1,0,1,6
University of Glasgow,0,1,0,6
Glasgow School of Art,0,1,0,6
عراق,0,0,1,6
سفارت آمریکا,0,0,1,6
Newsbeat,0,2,0,6
Lady Wilson,1,0,0,6
Cuban embassy,1,0,0,6
Palmer Luckey,0,1,0,6
David Cameron,2,0,0,5
Tory,2,1,0,5
کاخ سفید,0,0,2,5
Alice Marie Johnson,1,0,0,5
president,2,3,0,5
Dasht-e-Archi,1,0,0,5
UN,2,0,0,5
نيت إقرت,0,0,1,5
رئيس,4,0,1,5
لملك,0,2,3,5
Debbie Whyte,1,0,0,5
Insp McGowan,1,0,0,5
Police Service of Northern Ireland,0,0,1,5
Deloitte,0,1,1,5
Scottish,0,1,2,5
France,0,1,4,5
Badme,1,0,0,5
April,3,0,0,5
Prime Minister,2,2,1,5
Leo Varadkar,1,1,0,5
Grenfell,2,1,1,5
Rusia,1,0,0,5
Ikea Group,0,1,0,5
European Union,2,1,1,5
Maddy Savage,1,0,0,5
12 juin 2018,1,0,1,5
