Entities,neg,pos,neu,Count,Category
Trump,1,0,0,3,PERSON
Environmental Protection Agency,0,1,0,2,ORGANIZATION
PDF,2,1,1,4,ORGANIZATION
Obama,0,1,0,1,PERSON
Obama administration,1,0,1,3,LOCATION
Europe,8,4,13,40,LOCATION
ExxonMobil,0,0,1,1,ORGANIZATION
Chevron,0,0,1,1,ORGANIZATION
Pioneer Natural Resources,0,1,0,1,ORGANIZATION
Concho Resources,0,0,1,1,ORGANIZATION
RSP,0,0,1,1,ORGANIZATION
Pioneer,1,0,0,1,ORGANIZATION
Tim Dove,0,0,1,1,PERSON
Indepen,0,1,0,1,ORGANIZATION
Royal Bank of Scotland,0,0,1,13,ORGANIZATION
UK Government,0,0,1,1,ORGANIZATION
National Audit Office,0,0,1,1,ORGANIZATION
Lloyds Banking Group,1,0,0,1,ORGANIZATION
ABN AMRO,0,1,0,1,ORGANIZATION
Britain,4,3,7,42,LOCATION
America,5,9,18,82,LOCATION
Department of Justice,0,0,1,1,ORGANIZATION
European Commission,0,0,3,3,ORGANIZATION
UN Security Council,1,0,1,2,ORGANIZATION
West,3,1,0,8,LOCATION
Robert Guest,1,0,0,1,PERSON
China,9,6,5,74,LOCATION
Donald Trump,1,8,10,138,PERSON
Chris Zabriskie,0,1,0,1,PERSON
UK,0,0,1,1,LOCATION
Republicans,2,0,3,19,ORGANIZATION
MIKE LEVIN,0,1,0,12,PERSON
Total Democratic,0,0,1,11,ORGANIZATION
California,0,1,3,12,LOCATION
Sara Jacobs,0,1,0,3,PERSON
Hillary Clinton,2,1,0,9,PERSON
John Cox,0,0,1,2,PERSON
Paul Kerr,0,1,0,1,PERSON
San Clemente,1,0,0,1,LOCATION
Diane Harkey,0,1,0,1,PERSON
House,0,1,1,3,ORGANIZATION
San Diego Counties,0,1,0,1,LOCATION
California Senate,0,0,1,1,ORGANIZATION
Dianne Feinstein,0,0,1,1,PERSON
Kevin de Leon,0,1,0,1,PERSON
Gavin Newsom,0,0,1,1,PERSON
New Jersey,0,1,1,2,LOCATION
Bob Menendez,1,0,0,1,PERSON
New Mexico,0,1,0,1,LOCATION
Deb Haaland,0,1,0,1,PERSON
Congress,2,1,1,9,ORGANIZATION
Missouri,0,1,0,1,LOCATION
United States,2,2,3,7,LOCATION
Kim Jong Un,2,1,0,9,PERSON
Barack Obama,1,1,1,12,PERSON
