Entities,neg,pos,neu,Count
Iran,17,1,5,155
Vladimir Putin,2,2,3,119
United States,8,4,9,98
Russia,11,5,6,93
Saudi Arabia,7,10,10,93
US,12,7,6,81
Iranian,10,3,3,80
Saudi,5,6,14,78
Syria,15,1,6,77
Donald Trump,7,5,6,75
Al Arabiya,8,14,31,73
English,4,11,37,68
Reuters,11,12,23,67
Kim Jong Un,0,3,2,59
AFP,8,15,19,58
Jordan,1,0,4,53
Syrian,13,4,9,52
Arab,3,4,5,51
Hamad bin Jassim bin Hamad Al Thani,0,0,1,49
Qatar,0,1,6,49
President,16,14,18,48
Iraq,11,2,6,44
Syrian government,1,0,4,44
Yemen,7,2,4,43
MIDDLE EAST,7,2,11,42
Gulf,3,1,7,41
Bashar al-Assad,4,2,2,39
Singapore,0,2,3,37
al-Qaeda,5,0,1,35
"Friday, 8 June 2018",5,2,24,34
Friday,9,4,13,33
Islamic State,5,1,0,33
Turkish,1,1,6,32
Turkey,4,2,5,31
ISIS,7,1,5,30
Khadija,0,0,1,30
Qatari,3,0,2,30
Sunday,10,4,7,30
Washington,8,4,6,29
Derna,3,0,1,28
Hezbollah,5,2,2,28
Egypt,3,3,4,27
European,8,3,3,27
Lebanon,6,0,2,27
Libya,1,3,4,27
Moscow,5,2,3,27
Thursday,5,2,10,27
"Thursday, 7 June 2018",5,4,16,27
UAE,0,2,5,27
China,4,1,5,26
Russian,7,3,4,26
"Sunday, 10 June 2018",2,5,18,26
Germany,3,2,4,25
Iraqi,7,1,4,24
Priyanka Chopra,1,0,0,24
Israeli,3,1,3,23
Kurdish,4,0,5,23
North Korea,3,2,1,23
Pakistan,3,2,4,23
"Saturday, 9 June 2018",1,3,17,23
parliament,3,2,3,22
Libyan National Army,2,1,1,21
United Arab Emirates,0,0,5,21
United Nations,3,2,3,21
Associated Press,1,0,13,20
Israel,8,0,2,20
"Monday, 11 June 2018",2,0,16,20
Tehran,7,1,2,20
Ahed Tamimi,1,0,0,19
Ali Bashar,1,0,1,19
Daniel Essa,1,0,0,18
German,1,3,4,18
Saturday,3,6,5,18
Yemeni,5,3,1,18
Egyptian,3,2,1,17
Muslim,1,1,5,17
North Korean,2,3,0,17
Trump,1,2,1,17
EU,2,1,4,16
Italy,1,0,3,16
Manbij,0,3,0,16
Riyadh,2,5,3,16
Taliban,2,0,1,16
Wednesday,4,5,3,16
Afghan,4,0,2,15
Afghanistan,2,1,3,15
American,6,2,5,15
Blue Abaya Laura Alho,0,1,0,15
Houthis,4,0,1,15
Jim Mattis,0,0,4,15
Pervez Musharraf,1,0,0,15
Prime Minister,4,5,6,15
Saudi Arabia & Gulf,0,0,2,15
Shah Hussain,0,0,1,15
Somalia,1,0,1,15
Abu Abdullah al-Masry,0,0,2,14
British,2,2,2,14
Brussels,0,1,4,14
Doha,1,1,2,14
Field Communication Coordinator for Médecins Sans Frontières,0,1,0,14
Kim Yo Jong,0,1,0,14
Shafeeq Al-Ghabra,0,1,0,14
Arab countries,3,1,1,13
Europe,4,2,3,13
India,3,0,2,13
Twitter,4,2,2,13
UN,1,2,2,13
Amman,2,1,1,12
Anwar Mohammed Gargash,0,0,1,12
Gaza,2,0,0,12
International Monetary Fund,0,0,3,12
Islamic,2,2,5,12
Jeddah,1,1,3,12
Kabul,2,2,0,12
Khamenei,1,0,0,12
Rasha,1,0,0,12
Abdulrahman al-Rashed,0,0,1,11
AP,2,1,8,11
Farid Othman Ali Jabbar,1,0,0,11
G7,0,3,0,11
GMT,0,2,9,11
Idlib province,2,1,0,11
Indian,1,0,1,11
Islam,4,0,2,11
Italian,1,1,0,11
Monday,6,0,4,11
Omar al-Razzaz,2,0,0,11
Palestinian,2,2,1,11
president,1,8,2,11
prime minister,1,4,6,11
Sheikh,1,3,7,11
Shiite,3,2,0,11
Shiites,1,0,0,11
South Korea,2,1,1,11
Susanna Maria Feldman,2,0,0,11
Taliban for Eid,0,0,1,11
Tuesday,2,3,2,11
Ashraf Ghani,1,2,0,10
Beirut,1,1,6,10
Britain,3,1,3,10
Damascus,4,0,2,10
France,1,0,7,10
Gebran Bassil,2,0,0,10
Iran Revolutionary Guards Corps,1,0,0,10
Khalifa Haftar,0,0,2,10
NATO,3,3,2,10
Osama bin Laden,1,0,0,10
Panos Moumtzis,1,0,0,10
Abu Dhabi,0,1,5,9
Asharq al-Awsat,3,3,1,9
Dr.,2,3,4,9
foreign minister,4,3,2,9
Foreign Minister,0,5,4,9
Gaza Israel,1,0,0,9
Islamic Republic,1,0,1,9
Mecca,3,0,0,9
Mohammed Al-Hammadi,0,1,0,9
Muslims,3,4,0,9
Palestinians,3,0,1,9
Russian President,2,3,0,9
Sultan bin Suhaim,0,0,1,9
Syrians,6,1,1,9
Tarek Ahmad,1,0,0,9
Umrah,1,0,1,9
ambassador,0,1,7,8
April,4,0,1,8
Austria,2,2,0,8
Baghdad,3,2,1,8
Barack Obama,3,1,1,8
George Clooney,0,0,1,8
Hodeidah,1,1,1,8
Idlib,1,0,1,8
Jordanian,2,0,2,8
Jordanians,2,1,1,8
King,2,2,4,8
Middle East,3,3,2,8
Mosul,1,0,0,8
Prince,2,2,4,8
Ross Teverson,0,1,0,8
Sanaa,3,0,1,8
Turki al-Maliki,0,0,1,8
West,3,3,1,8
Abdel Fattah al-Sisi,0,1,0,7
Al Arabiya News Channel,0,1,2,7
Arab Coalition,0,0,2,7
Bahrain,2,0,3,7
Beijing,1,2,1,7
Crown Prince Mohammed,1,0,3,7
Dubai,2,0,1,7
God,0,3,2,7
Hassan Rouhani,1,1,1,7
Hindu,1,0,0,7
International Committee of the Red Cross,2,0,0,7
June,0,0,5,7
Khalifa bin Zayed Al-Nahyan,0,1,0,7
King Salman,0,1,2,7
Kingdom of Saudi Arabia,0,3,0,7
