Entities,neg,pos,neu,Count,Category
European Central Bank,7,1,2,40,ORGANIZATION
Reuters,59,45,58,438,ORGANIZATION
Germany,2,0,4,9,LOCATION
Min Read,37,29,57,128,PERSON
Eikon,0,0,1,1,ORGANIZATION
LONDON,2,2,14,38,LOCATION
Wall Street,0,0,5,5,LOCATION
Asia,2,2,6,14,LOCATION
STOXX,1,0,0,1,ORGANIZATION
DAX,0,1,0,1,ORGANIZATION
France,2,3,7,14,LOCATION
CAC 40,1,0,0,1,ORGANIZATION
Britain,11,1,6,49,LOCATION
FTSE,3,0,0,3,ORGANIZATION
Peter Praet,0,0,5,8,PERSON
Nasdaq,0,1,4,5,ORGANIZATION
Remy Cointreau,1,0,0,1,PERSON
Julien Ponthus,1,0,0,1,PERSON
Gareth Jones,0,0,5,5,PERSON
Bulgaria,1,0,0,10,LOCATION
Romania,1,0,0,7,LOCATION
Europe,8,2,4,34,LOCATION
Miglena Hristova,0,1,0,4,PERSON
Italy,3,1,3,24,LOCATION
"Paris, Radu-Sorin Marinas",0,1,0,3,LOCATION
Mihai Tincu,1,0,0,3,PERSON
Versace,0,1,0,3,ORGANIZATION
Balkan,0,1,0,2,LOCATION
Milan,0,1,0,2,LOCATION
China,4,7,15,92,LOCATION
Africa,4,0,2,11,LOCATION
Portugal,0,1,1,3,LOCATION
Armani,0,1,0,2,PERSON
Achim Berg,0,1,0,2,PERSON
LVMH,1,0,0,2,ORGANIZATION
Prada,0,0,1,2,ORGANIZATION
Eurostat,0,0,1,2,ORGANIZATION
Hugo Boss,1,0,0,2,ORGANIZATION
Southeast Europe,1,0,0,1,LOCATION
Michael Kahn,1,0,0,1,PERSON
PRAGUE,0,0,1,1,LOCATION
Danube,0,0,1,1,LOCATION
Turkey,2,0,1,8,LOCATION
Rousse,0,0,1,1,LOCATION
European Union,6,1,8,21,LOCATION
Group,0,1,0,1,ORGANIZATION
McKinsey,0,1,0,1,ORGANIZATION
Moncler,0,1,0,1,ORGANIZATION
Remo Ruffini,0,0,1,1,PERSON
BG,0,1,0,1,ORGANIZATION
Givenchy,0,1,0,1,LOCATION
Kenzo,0,1,0,1,PERSON
Conf,0,1,0,1,ORGANIZATION
HK,0,1,3,4,LOCATION
Maison Margiela,0,1,1,2,LOCATION
Botosani,0,0,1,1,LOCATION
Croatia,0,0,1,1,LOCATION
Slovenia,0,0,2,2,LOCATION
Bulgarian Association of Apparel,0,0,1,1,ORGANIZATION
Radina Bankova,1,0,0,1,PERSON
Clothing Association,0,0,1,1,ORGANIZATION
Paulo Vaz,0,0,1,1,PERSON
eastern Europe,0,0,1,1,LOCATION
Sarah White,0,0,1,1,PERSON
Bucharest,0,0,1,1,LOCATION
Andrei Khalip,0,0,1,1,PERSON
Lisbon,0,0,1,1,LOCATION
Guilia Segreti,0,0,1,1,PERSON
Philippa Fletcher,0,0,1,1,PERSON
Taliban,0,0,3,40,ORGANIZATION
Ashraf Ghani,0,0,3,33,PERSON
Afghanistan,1,3,0,19,LOCATION
United States,13,5,17,133,LOCATION
KABUL,0,0,3,14,LOCATION
Islamic State,5,0,3,38,ORGANIZATION
NATO,4,1,2,11,ORGANIZATION
